pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
agr:2275;thesis;Managing environmental and business risks for sustainable avocado production in Turkey;Koç, Özgün Ezgi;Njavro, Mario;;28.9.2021;https://urn.nsk.hr/urn:nbn:hr:204:167801;;;;
biotechri:776;thesis;Functionalisation of mica with (3-Aminopropyl)triethoxysilane: influence on imaging of extracellular vesicles from human cerebrospinal fluid by atomic force microscopy;Svetic, Ana;Malenica, Mladenka;;14.7.1905;https://urn.nsk.hr/urn:nbn:hr:193:235297;;;;
pbf:3443;thesis;Fizikalno-kemijska svojstva kruha sa dodatkom crnog cešnjaka;Rošcic, Lucija;Rimac Brncic, Suzana;;23.9.2019;https://urn.nsk.hr/urn:nbn:hr:159:266503;;;;
agr:2740;thesis;Amelioration of Metal Contaminated Soils by Biochars;Shepherd, Jonti Evan;Ondrašek, Gabrijel;;15.7.2022;https://urn.nsk.hr/urn:nbn:hr:204:227075;;;;
agr:1344;thesis;The value of ecollogically acceptable insecticide combinations for Colorado Potato Beetle control;O'Keeffe, Jamie;Bažok, Renata;;11.7.2019;https://urn.nsk.hr/urn:nbn:hr:204:316455;;;;
biotechri:658;thesis;Evaluacija aktivnih mjesta enzima i usporedba sa kataliticki aktivnim peptidima koji kataliziraju hidrolizu estera;Babic, Marko;Kalafatovic, Daniela;;29.9.2021;https://urn.nsk.hr/urn:nbn:hr:193:230088;;;;
pfos:3292;thesis;A comparison of accuracy of image recognition apps for identification of segetal and ruderal flora;Bilic, Davor;Ravlic, Marija;;28.9.2023;https://urn.nsk.hr/urn:nbn:hr:151:093514;;;;
biotechri:952;thesis;Uporaba AI alata AlphaFolda 2 za modeliranje strukture proteina;Dilber, Ivana;"Stepanic, Višnja; ";;26.10.2023;https://urn.nsk.hr/urn:nbn:hr:193:077207;;;;
biotechri:944;thesis;The effect of preferential methamphetamine consumption on lifespan and behavioral phenotypes of Drosophila melanogaster;Fucak, Laura;"Andretic Waldowski, Rozi; ";;26.10.2023;https://urn.nsk.hr/urn:nbn:hr:193:610593;;;;
biotechri:946;thesis;Utjecaj ekstrakata nefermentiranog i fermentiranog japanskog dvornika (Fallopia japonica) na stupanj oksidacije u kvascu Saccharomyces cerevisiae;Sundac, Laura;"Jamnik, Polona; ";;26.10.2023;https://urn.nsk.hr/urn:nbn:hr:193:235950;;;;
pbf:3534;thesis;Production and purification of fungal enzymes;Zrilic, Matea;Rezic, Tonci;;1.7.2020;https://urn.nsk.hr/urn:nbn:hr:159:597355;;;;
pbf:2670;thesis;Potential of soya substrates for lactic acid fermentation with addition of Lactobacillus plantarum;Dujmic, Elena;Šver, Lidija;;27.9.2017;https://urn.nsk.hr/urn:nbn:hr:159:052442;;;;
agr:1389;thesis;Biokemijske promjene tijekom zrenja sireva u životinjskoj koži;Lojbl, Tihana;Tudor Kalit, Milna;;23.9.2019;https://urn.nsk.hr/urn:nbn:hr:204:802159;;;;
biotechri:652;thesis;Mammalian DNA methyltransferase DNMT1: structure and function analysis and development of novel inhibitors using in silico methods;Rijako, Morana;Svedružic, Željko;;24.9.2021;https://urn.nsk.hr/urn:nbn:hr:193:498195;;;;
agr:1496;thesis;Diet overlap of introduced atlamtc and native danubian lineages of brown trout (Salmo trutta) from inland waters;Velagic, Luana;Piria, Marina;;24.9.2019;https://urn.nsk.hr/urn:nbn:hr:204:295277;;;;
biotechri:785;thesis;Effect of mating and isolation on preferential administration of methamphetamine in D. melanogaster;Dukic, Valentina;"Andretic Waldowski, Rozi; ";;21.10.2022;https://urn.nsk.hr/urn:nbn:hr:193:242756;;;;
biotechri:661;thesis;Silencing of ATF3 in primary cortical cultures derived from neonatal opossum Monodelphis domestica;Ivanicic, Matea;"Mladinic Pejatovic, Miranda; ";;29.9.2021;https://urn.nsk.hr/urn:nbn:hr:193:631779;;;;
pbf:3235;thesis;Izolacija pigmenata iz alge Cystoseira primjenom ubrzane ekstrakcije otapalima pri povišenom tlaku;Matanic, Josipa;Dragovic Uzelac, Verica;;24.9.2018;https://urn.nsk.hr/urn:nbn:hr:159:415637;;;;
biotechri:591;thesis;Exploring the potential pathogenic mechanism of Alzheimer’s disease through in silico analysis of gamma secretase;Visentin, David;Svedružic, Željko;;30.6.2021;https://urn.nsk.hr/urn:nbn:hr:193:425815;;;;
biotechri:919;thesis;Effect of disrupting the mRNA turnover on the genome-wide RNA 3'-end structure;Jurkovic, Borna;"Malecki, Michal; ";;14.7.2023;https://urn.nsk.hr/urn:nbn:hr:193:703125;;;;
pbf:4198;thesis;Similar but different: Determining the mode of action and effects of pectin methylesterases (PME);Martinic-Cezar, Tea;Mrša, Vladimir;;6.9.2021;https://urn.nsk.hr/urn:nbn:hr:159:519619;;;;
agr:3064;thesis;Wastewater reuse in agriculture and social acceptance: case study region of Istria County;Puž, Ivan;Zovko, Monika;;29.9.2023;https://urn.nsk.hr/urn:nbn:hr:204:794103;;;;
pbf:4082;thesis;Deciphering the enzymatic mechanisms of short-chain dehydrogenase/reductase epimerases and decarboxylases;Debanic, Fran;Slavica, Anita;;23.7.2021;https://urn.nsk.hr/urn:nbn:hr:159:077009;;;;
