pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
pmf:7654;thesis;Newton-Cartanova gravitacija;Cesic, Ivana;"Chatzistavrakidis, Athanasios; Cvitan, Maro";;27.9.2019;https://urn.nsk.hr/urn:nbn:hr:217:530124;;;;
pmf:9604;thesis;A genome-wide association study of maternal genetic effects in autism spectrum disorder;Vucinic, Kim;"Shields, Denis; ";;26.2.2021;https://urn.nsk.hr/urn:nbn:hr:217:825710;;;;
pmf:9107;thesis;Selenium and trace metal content in selected vegetables from Raša and Opatija towns, and their estimated daily intakes;Zoric, Tina;"Medunic, Gordana; Fiket, Željka";;12.7.1905;https://urn.nsk.hr/urn:nbn:hr:217:906705;;;;
mathos:687;thesis;Frog jumping problem on simple graphs;Veselovac, Matej;Majstorovic, Snježana;;21.10.2022;https://urn.nsk.hr/urn:nbn:hr:126:766253;;;;
pmf:10464;thesis;Influence of artificial lighting on feeding and movement of the purple sea urchin (Paracentrotus lividus);Šiljeg, Anamarija;Kružic, Petar;;23.2.2022;https://urn.nsk.hr/urn:nbn:hr:217:700521;;;;
pmfst:281;thesis;Effects of condensation on propagating patterns in the tropics;Ivanovic, Zvonko;Koracin, Darko;;28.9.2016;https://urn.nsk.hr/urn:nbn:hr:166:525572;;;;
pmf:7572;thesis;Synthesis and application of molybdenum based catalyst for oxidation reactions;Mihalinec, Josipa;"Pisk, Jana; Guillo, Pascal";;12.11.2019;https://urn.nsk.hr/urn:nbn:hr:217:391184;;;;
pmf:527;thesis;Perturbative Stability of Topologically Ordered Systems with Local Defects;Kurecic, Ivana;"Osborne, Tobias; Horvatic, Davor";;9.9.2016;https://urn.nsk.hr/urn:nbn:hr:217:414231;;;;
pmfst:1550;thesis;Optimisation of the search for new high mass Higgs bosons in the four-lepton channel with the CMS experiment;Mandaric, Marko;"Šculac, Toni; ";;30.9.2022;https://urn.nsk.hr/urn:nbn:hr:166:735715;;;;
pmfst:1845;thesis;Study on the search for leptoquarks in lepton-quark collisions at the LHC using proton tagged events;Akrap, Petra;"Šculac, Toni; ";;10.10.2023;https://urn.nsk.hr/urn:nbn:hr:166:118847;;;;
fkit:305;thesis;Novel catalytic systems for sustainable chemical processes;Županic, Ana-Maria;Škoric, Irena;;28.9.2016;https://urn.nsk.hr/urn:nbn:hr:149:606936;;;;
pmf:11324;thesis;The geometry of the Standard Model;Požar, Filip;"Juric, Tajron; ";;10.10.2022;https://urn.nsk.hr/urn:nbn:hr:217:063501;;;;
fkit:281;thesis;Preparation and characterisation of composite nanomaterials for radionuclide delivery;Pantalon Juraj, Natalija;Steinberg, Ivana;;13.7.2016;https://urn.nsk.hr/urn:nbn:hr:149:023711;;;;
pmf:3488;thesis;Network optimization in railway transport planning;Jusup, Matej;"Vrdoljak, Marko; Dress, Andreas";;24.2.2017;https://urn.nsk.hr/urn:nbn:hr:217:138780;;;;
pmf:7557;thesis;Synthesis and catalytic activity of novel molybdenum hydrazonato complexes;Razum, Marta;"Pisk, Jana; Agustin, Dominique";;14.11.2019;https://urn.nsk.hr/urn:nbn:hr:217:563316;;;;
pmf:4741;thesis;Fama-French three-factor model;Koprcina, Maja;Podobnik, Boris;;6.3.2018;https://urn.nsk.hr/urn:nbn:hr:217:234644;;;;
mathri:289;thesis;John Conway;Lovric, Nikola;Bujacic Babic, Sanda;;21.7.2023;https://urn.nsk.hr/urn:nbn:hr:196:320611;;;;
pmf:8312;thesis;Utjecaj proteina TRNP1 na proliferaciju primarne kulture stanica korteksa iz E14 miša;Foglar, Nika;"Esgleas, Miriam; ";;27.2.2020;https://urn.nsk.hr/urn:nbn:hr:217:667753;;;;
pmf:10731;thesis;Coordinate system transformations - calibration with examples;Leveric, Ivan;Drmac, Zlatko;;21.7.2022;https://urn.nsk.hr/urn:nbn:hr:217:641488;;;;
pmfst:1222;thesis;Stochastic gravitational-wave background on large cosmological scales;Rom, Tamara;Vlah, Zvonimir;;15.7.2021;https://urn.nsk.hr/urn:nbn:hr:166:177584;;;;
pmfst:398;thesis;Solvation free energy of small alkanes in polar and amphiphilic ambient;Baljkas, Marija;Zoranic, Larisa;;26.9.2017;https://urn.nsk.hr/urn:nbn:hr:166:378082;;;;
pmfst:1484;thesis;Numerical and machine learning methods in automatic text summarization;Sokol, Domina;Mladenovic, Saša;;23.9.2022;https://urn.nsk.hr/urn:nbn:hr:166:511169;;;;
mathos:142;thesis;Angular;Maltar, Jurica;Matijevic, Domagoj;;15.9.2017;https://urn.nsk.hr/urn:nbn:hr:126:762763;;;;
fkit:290;thesis;Preparation of bifunctional ligands for radiometals conjugation to biomolecules;Marinovic, Marina;Raic-Malic, Silvana;;15.7.2016;https://urn.nsk.hr/urn:nbn:hr:149:737280;;;;
pmf:11723;thesis;Proteomics-based approaches for validation of antibodies against OTR and V1aR;Kuridža, Bojan;Muttenthaler, Markus;;6.6.2023;https://urn.nsk.hr/urn:nbn:hr:217:185973;;;;
pmf:5873;thesis;Procjena toksicnosti vode rijeke Save pomocu modelnih organizama;Cota, Anja Sima;"Klobucar, Goran; Babic, Sanja";;21.12.2018;https://urn.nsk.hr/urn:nbn:hr:217:082262;;;;
rgn:1921;thesis;Mineralogical and geochemical study of the metamorphic rocks from the W–Au deposit Blagojev Kamen, Serbia;Anzulovic, Ana;Borojevic Šoštaric, Sibila;;11.2.2022;https://urn.nsk.hr/urn:nbn:hr:169:131799;;;;
phyri:235;thesis;Upper Limits of Active Galactic Nuclei observed by the MAGIC telescopes;Nikolic, Lisa;Dominis Prester, Dijana;;26.10.2022;https://urn.nsk.hr/urn:nbn:hr:194:926959;;;;
fkit:993;thesis;Influence of typical cooking processes on the arsenic speciation in common edible mushrooms - determination with HPLC-ICP-MS method;Pek, Elvira;"Babic, Sandra; ";;27.9.2019;https://urn.nsk.hr/urn:nbn:hr:149:093434;;;;
pmfst:282;thesis;Application of FEM substructuring and superelements technique in stress analysis of thin-walled structures;Barac, Ivan;Lozina, Željan;;20.9.2016;https://urn.nsk.hr/urn:nbn:hr:166:694736;;;;
pmf:4650;thesis;Semi-supervised neural part-of-speech tagging;Britvic, Tihana;Vukovic, Mladen;;1.3.2018;https://urn.nsk.hr/urn:nbn:hr:217:169195;;;;
pmfst:1264;thesis;Spectral formulation of the critical depth theory;Turcinov, Robert;Kovac, Žarko;;21.9.2021;https://urn.nsk.hr/urn:nbn:hr:166:071259;;;;
pmf:8309;thesis;Epizoicke dijatomeje roda Poulinea na glavatim želvama iz Jadranskog mora;Kanjer, Lucija;Bosak, Suncica;;17.2.2020;https://urn.nsk.hr/urn:nbn:hr:217:826690;;;;
pmf:7820;thesis;Isolation and structural elucidation of vernix caseosa TG-estolides with TLC, HPLC-ESI/MS and GC-MS;Dumic, Hrvoje;Cvacka, Jozef;;28.1.2020;https://urn.nsk.hr/urn:nbn:hr:217:643362;;;;
pmf:5437;thesis;Dioxomolibdenum(VI) complexes with thiosemicarbazone ligands as (pre)catalysts for olefin epoxidation;Renka, Sanja;"Vrdoljak, Višnja; Agustin, Dominique";;23.1.2019;https://urn.nsk.hr/urn:nbn:hr:217:133616;;;;
pmf:7648;thesis;Quantum superposition as a resource for quantum communication;Horvat, Sebastian;"Dakic, Borivoje; Kumericki, Krešimir";;9.12.2019;https://urn.nsk.hr/urn:nbn:hr:217:638859;;;;
mathos:160;thesis;ReactJS;Škalac, Lorena;Matijevic, Domagoj;;3.10.2017;https://urn.nsk.hr/urn:nbn:hr:126:915147;;;;
fizos:90;thesis;Pharmacokinetic Modeling of a Liver-Specific Contrast Agent;Aleric, Ivana;Kasabašic, Mladen;;19.10.2018;https://urn.nsk.hr/urn:nbn:hr:160:422304;;;;
pmf:11026;thesis;Discrimination of neutron from gamma radiation in diamond detectors;Ivankovic, Karla;"Provatas, Georgios; ";;29.9.2022;https://urn.nsk.hr/urn:nbn:hr:217:536593;;;;
pmf:4667;thesis;Machine learning in solid-state physics and statistical physics;Vrcek, Lovro;"Zlatic, Vinko; Batistic, Ivo";;5.7.2018;https://urn.nsk.hr/urn:nbn:hr:217:394430;;;;
pmfst:223;thesis;Linear feature detection on SDSS images;Bekteševic, Dino;Vinkovic, Dejan;;23.9.2015;https://urn.nsk.hr/urn:nbn:hr:166:540014;;;;
pmf:5168;thesis;Structural and functional analysis of hybrid proteasome Strukturna i funkcionalna analiza hibridnog proteasoma;Belacic, Katarina;"Haselbach, David; Malenica, Nenad";;23.11.2018;https://urn.nsk.hr/urn:nbn:hr:217:182054;;;;
pmfst:1559;thesis;Morphological characterization of spiral ganglion neurons grown in the pulsating electromagnetic field;Boric, Tina;Kovacic, Damir;;2.12.2022;https://urn.nsk.hr/urn:nbn:hr:166:100785;;;;
pmfst:225;thesis;Myxothiazol induced reverse reaction in Rhodobacter capsulatus cytochrome bc1 mutants;Kralj, Tomica;Raguž, Marija;;4.9.2015;https://urn.nsk.hr/urn:nbn:hr:166:844393;;;;
pmf:11800;thesis;Characterisation of the Notch signalling small molecule inhibitor RIN1;Biljan, Ivica;"Oswald, Franz; ";;19.7.2023;https://urn.nsk.hr/urn:nbn:hr:217:324487;;;;
pmf:9186;thesis;Application of neural networks in recognition of complex solutions;Kožic, Sven Benjamin;"Zlatic, Vinko; ";;22.9.2020;https://urn.nsk.hr/urn:nbn:hr:217:374068;;;;
pmfst:1324;thesis;Improving Higgs boson categorisation with Boosted Decision Trees;Petkovic, Andro;Šculac, Toni;;30.9.2021;https://urn.nsk.hr/urn:nbn:hr:166:546234;;;;
fizos:100;thesis;Fusion - evaporation reactions in the 7Li+96Zr system;Lukanovic, Irena;Varga Pajtler, Maja;;1.7.2019;https://urn.nsk.hr/urn:nbn:hr:160:237200;;;;
pmf:4815;thesis;coRdon: an R package for codon usage analysis and prediction of gene expressivity;Elek, Anamaria;Vlahovicek, Kristian;;13.9.2018;https://urn.nsk.hr/urn:nbn:hr:217:686131;;;;
fkit:276;thesis;Stability study of selected pharmaceutical formulations;Fercec, Borna;Mutavdžic Pavlovic, Dragana;;12.7.2016;https://urn.nsk.hr/urn:nbn:hr:149:473987;;;;
pmf:4989;thesis;Determining the molecular mehanisms regulating lysosome damage and repair pathways;Božic, Mihaela;"McEwan, David; Marijanovic, Inga";;28.9.2018;https://urn.nsk.hr/urn:nbn:hr:217:147253;;;;
pmfst:277;thesis;Seeing different lateral organization in membrane bilayer made of various ternary mixtures of phospholipids, sphingomyelin and cholesterol by fluorescent microscopy;Glavurtic, Gorana;Raguž, Marija;;14.9.2016;https://urn.nsk.hr/urn:nbn:hr:166:842002;;;;
pmfst:1734;thesis;Electronic Properties Of The Protein From The Oxidoreductase Family;Matekalo, Jelena;"Sanader Maršic, Željka; ";;22.9.2023;https://urn.nsk.hr/urn:nbn:hr:166:651805;;;;
pmf:11364;thesis;Radiogalaxies with bent jets in a group of galaxies in the COSMOS field;Vulic, Paula;Smolcic, Vernesa;;11.11.2022;https://urn.nsk.hr/urn:nbn:hr:217:579865;;;;
pmfst:1553;thesis;Atmospheric forcing of the Mediterranean sea level extremes;Parlain, Anita;Šepic, Jadranka;;8.11.2022;https://urn.nsk.hr/urn:nbn:hr:166:814519;;;;
pmf:5078;thesis;Planetary Radio Interferometry and Doppler Experiment (PRIDE ) Applications to Orbiters and Landers;Klindžic, Dora;Smolcic, Vernesa;;27.9.2018;https://urn.nsk.hr/urn:nbn:hr:217:654979;;;;
fkit:641;thesis;Novel heterogeneous photoredox transformations using organic materials;Cazin, Ines;Raic-Malic, Silvana;;28.9.2017;https://urn.nsk.hr/urn:nbn:hr:149:847191;;;;
pmfst:390;thesis;Path integral Monte Carlo study of one-dimensional Bose system: Luttinger liquid properties and impurity effects;Lunic, Frane;Vranješ Markic, Leandra;;29.9.2017;https://urn.nsk.hr/urn:nbn:hr:166:202813;;;;
pmfst:381;thesis;Path integral Monte Carlo study of superfluid 4He in disordered narrow nanopores;Vrcan, Hrvoje;Vranješ Markic, Leandra;;14.7.2017;https://urn.nsk.hr/urn:nbn:hr:166:921286;;;;
pmf:9452;thesis;Microhabitat niche partitioning in sympatric species of genus Gouania Nardo, 1833 (Actinopterygii: Gobiesocidae) in the Northern Adriatic;Pamic, Maja;Marcic, Zoran;;25.2.2021;https://urn.nsk.hr/urn:nbn:hr:217:454445;;;;
pmf:11709;thesis;Stablaste mreže tenzora za kvantne višecesticne sustave na konacnoj temperaturi;Reinic, Nora;"Montangero, Simone; Nikšic, Tamara";;15.7.1905;https://urn.nsk.hr/urn:nbn:hr:217:027919;;;;
pmf:9145;thesis;Microscopic description of nuclear shapes and collective excitations;Lotina, Luka;Nomura, Kosuke;;30.7.2020;https://urn.nsk.hr/urn:nbn:hr:217:579081;;;;
fizos:17;thesis;VALIDATION OF GATING SYSTEMS USING A HOMEMADE GATING PHANTOM;Strugacevac, Maja;Faj, Dario;;23.3.2016;https://urn.nsk.hr/urn:nbn:hr:160:397040;;;;
mathos:667;thesis;Lokalizacija pomocu vremenske razlike dolaska signala;Runtic, David;Matijevic, Domagoj;;5.10.2022;https://urn.nsk.hr/urn:nbn:hr:126:237586;;;;
pmf:8399;thesis;Penalty methods in constrained optimization;Mihalj, Lucija;Vrdoljak, Marko;;27.11.2019;https://urn.nsk.hr/urn:nbn:hr:217:336877;;;;
pmfst:809;thesis;Quantum Monte Carlo study of one-dimensional Bose-Fermi mixtures;Odak, Gloria;Vranješ Markic, Leandra;;23.7.2019;https://urn.nsk.hr/urn:nbn:hr:166:253466;;;;
pmf:5092;thesis;Transient current technique (TCT) characterization of high-energy photon irradiated silicon detectors;Petrinec, Ana;"Harkonen, Jaakko Juhana; Makek, Mihael";;28.8.2018;https://urn.nsk.hr/urn:nbn:hr:217:370582;;;;
pmf:9960;thesis;Proteomic signatures for idiopathic cases of male infertility;Krmpotic, Klara;"Imhof, Axel; ";;27.9.2021;https://urn.nsk.hr/urn:nbn:hr:217:855023;;;;
pmf:9670;thesis;Machine learning assisted determination of linearly independent set of generalized molecular coordinates;Ostojic, Tea;Hrenar, Tomica;;18.5.2021;https://urn.nsk.hr/urn:nbn:hr:217:138103;;;;
pmf:9028;thesis;Utjecaj šaperona HtpG na kolicine proteina Cas3 i zaštitu od infekcije fagom lambda u ovisnosti o temperaturi u bakteriji Escherichia coli;Pravica, Mihaela;Ivancic Bace, Ivana;;13.11.2020;https://urn.nsk.hr/urn:nbn:hr:217:474070;;;;
